table,current_producer
_bcrp_desempleo_lima,build_epen_lima_extended.py (nombre de salida dinamico)
_bcrp_lima_2026,build_epen_lima_extended.py
_bcrp_subempleo_lima,fig_epen_lima_subempleo.py
_ipc_lima_2009base,build_epen_lima_extended.py (nombre de salida dinamico)
_ipc_lima_linked,build_epen_lima_educ_movil.py
agro_comercializacion_2011_2025,fig_agro_comercializacion_evolution.py
agro_mercado_2025,fig_agro_mercado.py
agro_top_cultivos_2025,fig_agro_productos.py
agro_top_especies_2025,fig_agro_productos.py
agro_volumen_valor_2025,fig_agro_volumen_valor.py
analfabetismo_region_tiempo_2004_2025,fig_analfabetismo_region_tiempo.py
atencion_salud_tiempo,fig_busqueda_atencion_salud_tiempo.py
bienes_durables_decil_2025,fig_bienes_durables.py
bienes_durables_difusion_2004_2025,fig_bienes_difusion.py
brecha_ingreso_etnico_tiempo,fig_brecha_ingreso_etnico_tiempo.py
brecha_salarial_edad_tiempo_2004_2025,fig_brecha_salarial_edad_tiempo.py
brecha_salarial_formal_tiempo_2007_2025,fig_brecha_salarial_formal_tiempo.py
brecha_salarial_grupos_tiempo_2004_2025,fig_brecha_tiempo_grupos.py
brecha_salarial_hora_tiempo_2004_2025,fig_brecha_salarial_hora_tiempo.py
brecha_salarial_region_tiempo_2004_2025,fig_brecha_salarial_region_tiempo.py
brecha_salarial_sector_2025,fig_brecha_salarial_sector.py
brecha_salarial_sexo_2004_2025,fig_brecha_salarial_sexo.py
brecha_salarial_urbano_tiempo_2004_2025,fig_brecha_salarial_urbano_tiempo.py
budget_composition_2004_2025,build_consumo_evolution.py
calidad_vivienda_2004_2025,fig_calidad_vivienda.py
combustible_cocina_2004_2025,fig_combustible_cocina.py
confianza_edad_tiempo_2007_2025,fig_confianza_edad_tiempo.py
confianza_educacion_tiempo_2007_2025,fig_confianza_educacion_tiempo.py
confianza_grupos_tiempo_2007_2025,fig_confianza_grupos_tiempo.py
confianza_instituciones_tiempo_2007_2025,fig_confianza_instituciones_tiempo.py
confianza_region_tiempo_2007_2025,fig_confianza_region_tiempo.py
convergencia_departamental_2004_2025,fig_convergencia_departamental.py
corr_between_within_pobreza,fig_corr_between_within.py
cuidados_personales_tiempo,fig_cuidados_corte_tiempo.py
demographic_transition,demographic_transition.py
dept_income_social_vote,fig_income_social_vote.py
discapacidad_empleo_tiempo,fig_discapacidad_empleo_tiempo.py
district_vote_2021_2026,fig_electoral_map.py
educacion_cohorte_2025,fig_educacion_cohorte.py
educacion_sexo_tiempo_2004_2025,fig_educacion_sexo_tiempo.py
educacion_superior_area_tiempo_2004_2025,fig_educacion_superior_area_tiempo.py
educacion_superior_sexo_tiempo_2004_2025,fig_educacion_superior_sexo_tiempo.py
eea_activos_sector,build_eea_activos.py
eea_brecha_genero_sector,build_eea_brecha_genero.py
eea_concentracion_industria,build_eea_concentracion.py
eea_concentracion_sector,build_eea_concentracion.py
eea_demografia_sector,build_eea_demografia.py
eea_epen_cruce_sector,build_eea_epen_cruce.py
eea_productividad_sector,build_eea_productividad.py
eea_productividad_sector_tamano,build_eea_productividad.py
eea_productividad_tamano,build_eea_productividad.py
eea_remuneraciones_sector,build_eea_remuneraciones.py
eea_ventas_va_sector,build_eea_ventas_va.py
empleo_agricola_2004_2025,fig_empleo_agricola_evolution.py
empleo_sector_flujo_2007_2011,dataset_sector_flujo.py
empleo_sectores_2004_2025,fig_empleo_sectores.py
endes_adol_maternidad_riqueza_2016_2024,../data/build_endes_extra.py (en este repo) (nombre de salida dinamico)
endes_dept_indicadores,fig_endes_correlaciones.py
endes_edad_primer_hijo_educacion,../data/build_endes_extra.py (en este repo) (nombre de salida dinamico)
endes_hijos_area_tiempo,../data/build_endes_extra.py (en este repo) (nombre de salida dinamico)
endes_hijos_educacion_tiempo,../data/build_endes_extra.py (en este repo) (nombre de salida dinamico)
endes_indicadores,build_endes_indicators.py
engel_elasticidad_tiempo_2004_2025,fig_engel_elasticidad_tiempo.py
engel_elasticidades_2025,fig_engel_elasticidades.py
epen_ciudades_2025,build_epen_ciudades.py
epen_codciudad_dict,build_epen_ciudades.py
epen_codciudad_inferred,build_epen_ciudades.py
epen_dpto_advanced_2022_2025,build_epen_dpto_advanced.py
epen_dpto_annual_2022_2025,build_epen_dpto_annual.py
epen_dpto_econometrics_2022_2025,build_epen_dpto_econometrics.py
epen_dpto_indicadores2_2022_2025,build_epen_dpto_indicadores2.py
epen_dpto_theil_urbano_2022_2025,build_epen_dpto_theil_urbano.py
epen_econ_summary,build_epen_dpto_econometrics.py
epen_informal_sector_dpto_2025,fig_epen_heatmap_sector_dpto.py
epen_lima_desempleo_2001_2026,build_epen_lima_extended.py
epen_lima_educ_movil_2022_2026,build_epen_lima_educ_movil.py
epen_lima_empleo_trim_2001_2022,build_epen_lima_extended.py
